points
"[2.367402705820333, -6.757408025928591, -7.3955452553684]"
"[-8.256204961922972, 8.21127137509206, 2.916632564972937]"
"[-1.692752542101423, 7.490410130582461, 4.211832772051867]"
"[-7.9565667176874, 6.3144375726335955, 0.43900602132728817]"
"[-3.0900757570762654, 8.489116321020173, 4.06849867047396]"
"[-3.433280460799855, 6.40173711550472, 5.590248518625004]"
"[-3.2516044601719227, 8.310942326490915, 2.500258180151862]"
"[1.3376099436660926, -7.901179385826868, -7.041864979673468]"
"[-6.06001471508357, 8.51716263978102, 2.240938550918038]"
"[-8.064627339802328, 6.785381253835744, 0.6756221375028295]"
"[1.4395208800982453, -6.885155053471396, -7.1095600471079035]"
"[-9.718919022683117, 6.192970610817136, 2.1567291174921976]"
"[1.3729158338348202, -5.932187370104631, -6.5890755920137645]"
"[2.362518597196855, -8.144746305073912, -5.7881173289182755]"
"[-3.138672583977001, 9.61200659511093, 7.199366867265894]"
